model,corruption,severity,wer_mean,wer_lo,wer_hi,cer_mean,cer_lo,cer_hi,dWER_mean,dWER_lo,dWER_hi,dCER_mean,dCER_lo,dCER_hi,n_seed,n_utts
meralion-2-10b,clipping_ratio,0.8,0.1356270549553781,0.1356270549553781,0.1356270549553781,0.03330832708177044,0.03330832708177044,0.03330832708177044,0.0,0.0,0.0,0.0,0.0,0.0,3,682
meralion-2-10b,clipping_ratio,0.9,0.1356270549553781,0.1356270549553781,0.1356270549553781,0.03330832708177044,0.03330832708177044,0.03330832708177044,0.0,0.0,0.0,0.0,0.0,0.0,3,682
meralion-2-10b,clipping_ratio,0.98,0.1356270549553781,0.1356270549553781,0.1356270549553781,0.03330832708177044,0.03330832708177044,0.03330832708177044,0.0,0.0,0.0,0.0,0.0,0.0,3,682
meralion-2-10b,noise_snr_db,10,0.19410521371535933,0.19410521371535933,0.19410521371535933,0.07982709963205087,0.07982709963205087,0.07982709963205087,0.05847815875998122,0.05847815875998122,0.05847815875998122,0.046518772550280425,0.046518772550280425,0.046518772550280425,3,682
meralion-2-10b,noise_snr_db,20,0.14314232033818694,0.14314232033818694,0.14314232033818694,0.0406244418247419,0.0406244418247419,0.0406244418247419,0.007515265382808833,0.007515265382808833,0.007515265382808833,0.007316114742971454,0.007316114742971454,0.007316114742971454,3,682
meralion-2-10b,noise_snr_db,30,0.1362533270706122,0.1362533270706122,0.1362533270706122,0.03456578430321866,0.03456578430321866,0.03456578430321866,0.0006262721152340833,0.0006262721152340833,0.0006262721152340833,0.0012574572214482174,0.0012574572214482174,0.0012574572214482174,3,682
meralion-2-10b,none,0,0.1356270549553781,0.1356270549553781,0.1356270549553781,0.03330832708177044,0.03330832708177044,0.03330832708177044,0.0,0.0,0.0,0.0,0.0,0.0,3,682
meralion-2-10b,pitch_semitones,-2,0.13492249882573978,0.13492249882573978,0.13492249882573978,0.032236630586217986,0.032236630586217986,0.032236630586217986,-0.0007045561296383229,-0.0007045561296383229,-0.0007045561296383229,-0.0010716964955524572,-0.0010716964955524572,-0.0010716964955524572,3,682
meralion-2-10b,pitch_semitones,2,0.13550962893377172,0.13550962893377172,0.13550962893377172,0.03219376272639588,0.03219376272639588,0.03219376272639588,-0.00011742602160638715,-0.00011742602160638715,-0.00011742602160638715,-0.0011145643553745616,-0.0011145643553745616,-0.0011145643553745616,3,682
meralion-2-10b,pitch_semitones,4,0.13621418506341004,0.13621418506341004,0.13621418506341004,0.03337262887150359,0.03337262887150359,0.03337262887150359,0.0005871301080319358,0.0005871301080319358,0.0005871301080319358,6.430178973314965e-05,6.430178973314965e-05,6.430178973314965e-05,3,682
meralion-2-10b,reverb_decay,0.2,0.1369187411930484,0.1369187411930484,0.1369187411930484,0.034530061086700245,0.034530061086700245,0.034530061086700245,0.0012916862376702865,0.0012916862376702865,0.0012916862376702865,0.0012217340049298017,0.0012217340049298017,0.0012217340049298017,3,682
meralion-2-10b,reverb_decay,0.5,0.14020666979802723,0.14020666979802723,0.14020666979802723,0.03656628442824992,0.03656628442824992,0.03656628442824992,0.004579614842649127,0.004579614842649127,0.004579614842649127,0.003257957346479476,0.003257957346479476,0.003257957346479476,3,682
meralion-2-10b,reverb_decay,0.8,0.14889619539689997,0.14889619539689997,0.14889619539689997,0.04348944378951881,0.04348944378951881,0.04348944378951881,0.01326914044152186,0.01326914044152186,0.01326914044152186,0.010181116707748364,0.010181116707748364,0.010181116707748364,3,682
meralion-2-10b,speed,0.8,0.13597933302019727,0.13597933302019727,0.13597933302019727,0.03392991104919087,0.03392991104919087,0.03392991104919087,0.00035227806481916146,0.00035227806481916146,0.00035227806481916146,0.0006215839674204235,0.0006215839674204235,0.0006215839674204235,3,682
meralion-2-10b,speed,0.9,0.13633161108501643,0.13633161108501643,0.13633161108501643,0.03418711820812346,0.03418711820812346,0.03418711820812346,0.0007045561296383229,0.0007045561296383229,0.0007045561296383229,0.0008787911263530152,0.0008787911263530152,0.0008787911263530152,3,682
meralion-2-10b,speed,1.1,0.13715359323626117,0.13715359323626117,0.13715359323626117,0.03384417532954667,0.03384417532954667,0.03384417532954667,0.0015265382808830608,0.0015265382808830608,0.0015265382808830608,0.0005358482477762286,0.0005358482477762286,0.0005358482477762286,3,682
meralion-2-3b,clipping_ratio,0.8,0.13057773602630343,0.13057773602630343,0.13057773602630343,0.031100632300932376,0.031100632300932376,0.031100632300932376,0.0,0.0,0.0,0.0,0.0,0.0,3,682
meralion-2-3b,clipping_ratio,0.9,0.13057773602630343,0.13057773602630343,0.13057773602630343,0.031100632300932376,0.031100632300932376,0.031100632300932376,0.0,0.0,0.0,0.0,0.0,0.0,3,682
meralion-2-3b,clipping_ratio,0.98,0.13057773602630343,0.13057773602630343,0.13057773602630343,0.031100632300932376,0.031100632300932376,0.031100632300932376,0.0,0.0,0.0,0.0,0.0,0.0,3,682
meralion-2-3b,noise_snr_db,10,0.18185376546109283,0.18185376546109283,0.18185376546109283,0.0680455828242775,0.0680455828242775,0.0680455828242775,0.0512760294347894,0.0512760294347894,0.0512760294347894,0.03694495052334512,0.03694495052334512,0.03694495052334512,3,682
meralion-2-3b,noise_snr_db,20,0.13644903710662282,0.13644903710662282,0.13644903710662282,0.035694637945200586,0.035694637945200586,0.035694637945200586,0.0058713010803193855,0.0058713010803193855,0.0058713010803193855,0.00459400564426821,0.00459400564426821,0.00459400564426821,3,682
meralion-2-3b,noise_snr_db,30,0.13194770627837796,0.13194770627837796,0.13194770627837796,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.001369970252074526,0.001369970252074526,0.001369970252074526,0.0011574322151966555,0.0011574322151966555,0.0011574322151966555,3,682
meralion-2-3b,none,0,0.13057773602630343,0.13057773602630343,0.13057773602630343,0.031100632300932376,0.031100632300932376,0.031100632300932376,0.0,0.0,0.0,0.0,0.0,0.0,3,682
meralion-2-3b,pitch_semitones,-2,0.13069516204790982,0.13069516204790982,0.13069516204790982,0.031143500160754473,0.031143500160754473,0.031143500160754473,0.00011742602160638715,0.00011742602160638715,0.00011742602160638715,4.2867859822097454e-05,4.2867859822097454e-05,4.2867859822097454e-05,3,682
meralion-2-3b,pitch_semitones,2,0.13116486613433537,0.13116486613433537,0.13116486613433537,0.031143500160754473,0.031143500160754473,0.031143500160754473,0.0005871301080319358,0.0005871301080319358,0.0005871301080319358,4.2867859822097454e-05,4.2867859822097454e-05,4.2867859822097454e-05,3,682
meralion-2-3b,pitch_semitones,4,0.13151714419915453,0.13151714419915453,0.13151714419915453,0.03182938591790805,0.03182938591790805,0.03182938591790805,0.0009394081728510972,0.0009394081728510972,0.0009394081728510972,0.0007287536169756741,0.0007287536169756741,0.0007287536169756741,3,682
meralion-2-3b,reverb_decay,0.2,0.13233912635039924,0.13233912635039924,0.13233912635039924,0.032150894866573784,0.032150894866573784,0.032150894866573784,0.0017613903240958073,0.0017613903240958073,0.0017613903240958073,0.0010502625656414084,0.0010502625656414084,0.0010502625656414084,3,682
meralion-2-3b,reverb_decay,0.5,0.13457022076092062,0.13457022076092062,0.13457022076092062,0.03382274139963563,0.03382274139963563,0.03382274139963563,0.003992484734617191,0.003992484734617191,0.003992484734617191,0.0027221090987032508,0.0027221090987032508,0.0027221090987032508,3,682
meralion-2-3b,reverb_decay,0.8,0.1416157820573039,0.1416157820573039,0.1416157820573039,0.03997427928410674,0.03997427928410674,0.03997427928410674,0.011038046031000476,0.011038046031000476,0.011038046031000476,0.008873646983174364,0.008873646983174364,0.008873646983174364,3,682
meralion-2-3b,speed,0.8,0.1318694222639737,0.1318694222639737,0.1318694222639737,0.031550744829064406,0.031550744829064406,0.031550744829064406,0.0012916862376702587,0.0012916862376702587,0.0012916862376702587,0.0004501125281320302,0.0004501125281320302,0.0004501125281320302,3,682
meralion-2-3b,speed,0.9,0.13057773602630343,0.13057773602630343,0.13057773602630343,0.03122923588039867,0.03122923588039867,0.03122923588039867,0.0,0.0,0.0,0.00012860357946629583,0.00012860357946629583,0.00012860357946629583,3,682
meralion-2-3b,speed,1.1,0.13292625645843117,0.13292625645843117,0.13292625645843117,0.03206515914692959,0.03206515914692959,0.03206515914692959,0.002348520432127743,0.002348520432127743,0.002348520432127743,0.0009645268459972135,0.0009645268459972135,0.0009645268459972135,3,682
whisper-small,clipping_ratio,0.8,0.17895725692813527,0.17895725692813527,0.17895725692813527,0.060529418068802916,0.060529418068802916,0.060529418068802916,0.0,0.0,0.0,0.0,0.0,0.0,3,682
whisper-small,clipping_ratio,0.9,0.17895725692813527,0.17895725692813527,0.17895725692813527,0.060529418068802916,0.060529418068802916,0.060529418068802916,0.0,0.0,0.0,0.0,0.0,0.0,3,682
whisper-small,clipping_ratio,0.98,0.17895725692813527,0.17895725692813527,0.17895725692813527,0.060529418068802916,0.060529418068802916,0.060529418068802916,0.0,0.0,0.0,0.0,0.0,0.0,3,682
whisper-small,noise_snr_db,10,0.36723031157037733,0.36723031157037733,0.36723031157037733,0.19254099239095487,0.19254099239095487,0.19254099239095487,0.18827305464224206,0.18827305464224206,0.18827305464224206,0.13201157432215196,0.13201157432215196,0.13201157432215196,3,682
whisper-small,noise_snr_db,20,0.20647408799123218,0.20647408799123218,0.20647408799123218,0.07979852105883614,0.07979852105883614,0.07979852105883614,0.027516831063096908,0.027516831063096908,0.027516831063096908,0.019269102990033225,0.019269102990033225,0.019269102990033225,3,682
whisper-small,noise_snr_db,30,0.18310630969156097,0.18310630969156097,0.18310630969156097,0.06404458257421498,0.06404458257421498,0.06404458257421498,0.004149052763425698,0.004149052763425698,0.004149052763425698,0.0035151645054120675,0.0035151645054120675,0.0035151645054120675,3,682
whisper-small,none,0,0.17895725692813527,0.17895725692813527,0.17895725692813527,0.060529418068802916,0.060529418068802916,0.060529418068802916,0.0,0.0,0.0,0.0,0.0,0.0,3,682
whisper-small,pitch_semitones,-2,0.17942696101456082,0.17942696101456082,0.17942696101456082,0.06102239845675705,0.06102239845675705,0.06102239845675705,0.0004697040864255486,0.0004697040864255486,0.0004697040864255486,0.0004929803879541311,0.0004929803879541311,0.0004929803879541311,3,682
whisper-small,pitch_semitones,2,0.1835368717707844,0.1835368717707844,0.1835368717707844,0.06230843425142,0.06230843425142,0.06230843425142,0.004579614842649127,0.004579614842649127,0.004579614842649127,0.0017790161826170825,0.0017790161826170825,0.0017790161826170825,3,682
whisper-small,pitch_semitones,4,0.1843588539220291,0.1843588539220291,0.1843588539220291,0.06391597899474868,0.06391597899474868,0.06391597899474868,0.005401596993893837,0.005401596993893837,0.005401596993893837,0.0033865609259457682,0.0033865609259457682,0.0033865609259457682,3,682
whisper-small,reverb_decay,0.2,0.2709018318459371,0.2709018318459371,0.2709018318459371,0.12118743971707213,0.12118743971707213,0.12118743971707213,0.09194457491780181,0.09194457491780181,0.09194457491780181,0.060658021648269216,0.060658021648269216,0.060658021648269216,3,682
whisper-small,reverb_decay,0.5,0.5016439643024895,0.5016439643024895,0.5016439643024895,0.29979637766584505,0.29979637766584505,0.29979637766584505,0.32268670737435423,0.32268670737435423,0.32268670737435423,0.23926695959704214,0.23926695959704214,0.23926695959704214,3,682
