model,seed,corruption,severity,wer,cer,n_utts,wer_delta_vs_clean,cer_delta_vs_clean
whisper-small,13,none,0.0,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,13,noise_snr_db,30.0,0.18201033348990137,0.06293001821884042,682,0.0030530765617660938,0.002400600150037506
whisper-small,13,noise_snr_db,20.0,0.20573038985439174,0.07954131389990354,682,0.026773132926256465,0.019011895831100627
whisper-small,13,noise_snr_db,10.0,0.3655472052606858,0.19069767441860466,682,0.18658994833255052,0.13016825634980175
whisper-small,13,speed,0.9,0.18236261155472053,0.06370163969563819,682,0.0034053546265852552,0.003172221626835274
whisper-small,13,speed,0.8,0.19304837952090184,0.07008895080913086,682,0.01409112259276657,0.00955953274032794
whisper-small,13,speed,1.1,0.17707844058243308,0.059414853713428355,682,-0.0018788163457021945,-0.0011145643553745616
whisper-small,13,pitch_semitones,-2.0,0.17942696101456082,0.06102239845675705,682,0.0004697040864255486,0.0004929803879541311
whisper-small,13,pitch_semitones,2.0,0.1835368717707844,0.06230843425142,682,0.004579614842649127,0.0017790161826170825
whisper-small,13,pitch_semitones,4.0,0.1843588539220291,0.06391597899474868,682,0.005401596993893837,0.0033865609259457682
whisper-small,13,reverb_decay,0.2,0.2709018318459371,0.12118743971707213,682,0.09194457491780181,0.060658021648269216
whisper-small,13,reverb_decay,0.5,0.5016439643024895,0.29979637766584505,682,0.32268670737435423,0.23926695959704214
whisper-small,13,reverb_decay,0.8,0.9550258337247534,0.7516664880505841,682,0.7760685767966181,0.6911370699817811
whisper-small,13,clipping_ratio,0.98,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,13,clipping_ratio,0.9,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,13,clipping_ratio,0.8,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,17,none,0.0,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,17,noise_snr_db,30.0,0.18588539220291217,0.06638088093451934,682,0.006928135274776898,0.005851462865716424
whisper-small,17,noise_snr_db,20.0,0.20831376232973225,0.0807416139749223,682,0.029356505401596983,0.020212195906119383
whisper-small,17,noise_snr_db,10.0,0.3642555190230155,0.19119065480655878,682,0.18529826209488023,0.13066123673775587
whisper-small,17,speed,0.9,0.18236261155472053,0.06370163969563819,682,0.0034053546265852552,0.003172221626835274
whisper-small,17,speed,0.8,0.19304837952090184,0.07008895080913086,682,0.01409112259276657,0.00955953274032794
whisper-small,17,speed,1.1,0.17707844058243308,0.059414853713428355,682,-0.0018788163457021945,-0.0011145643553745616
whisper-small,17,pitch_semitones,-2.0,0.17942696101456082,0.06102239845675705,682,0.0004697040864255486,0.0004929803879541311
whisper-small,17,pitch_semitones,2.0,0.1835368717707844,0.06230843425142,682,0.004579614842649127,0.0017790161826170825
whisper-small,17,pitch_semitones,4.0,0.1843588539220291,0.06391597899474868,682,0.005401596993893837,0.0033865609259457682
whisper-small,17,reverb_decay,0.2,0.2709018318459371,0.12118743971707213,682,0.09194457491780181,0.060658021648269216
whisper-small,17,reverb_decay,0.5,0.5016439643024895,0.29979637766584505,682,0.32268670737435423,0.23926695959704214
whisper-small,17,reverb_decay,0.8,0.9550258337247534,0.7516664880505841,682,0.7760685767966181,0.6911370699817811
whisper-small,17,clipping_ratio,0.98,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,17,clipping_ratio,0.9,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,17,clipping_ratio,0.8,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,23,none,0.0,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,23,noise_snr_db,30.0,0.18142320338186943,0.06282284856928518,682,0.002465946453734158,0.002293430500482259
whisper-small,23,noise_snr_db,20.0,0.20537811178957258,0.07911263530168257,682,0.026420854861437304,0.018583217232879652
whisper-small,23,noise_snr_db,10.0,0.3718882104274307,0.1957346479477012,682,0.19293095349929543,0.1352052298788983
