model,seed,corruption,severity,wer,cer,n_utts,wer_delta_vs_clean,cer_delta_vs_clean
meralion-2-3b,17,noise_snr_db,10.0,0.6579804560260586,0.45941468801766977,2,0.31921824104234525,0.22087244616234122
meralion-2-3b,17,speed,0.9,0.43973941368078173,0.319712865819989,2,0.1009771986970684,0.08117062396466043
meralion-2-3b,17,speed,0.8,0.3778501628664495,0.2578685808945334,2,0.039087947882736174,0.01932633903920486
meralion-2-3b,17,speed,1.1,0.38762214983713356,0.23136388735505245,2,0.04885993485342022,-0.007178354500276096
meralion-2-3b,17,pitch_semitones,-2.0,0.36156351791530944,0.2390944229707344,2,0.0228013029315961,0.0005521811154058642
meralion-2-3b,17,pitch_semitones,2.0,0.36156351791530944,0.23467697404748758,2,0.0228013029315961,-0.0038652678078409664
meralion-2-3b,17,pitch_semitones,4.0,0.3811074918566775,0.27167310877967976,2,0.04234527687296419,0.033130866924351215
meralion-2-3b,17,reverb_decay,0.2,0.33876221498371334,0.21700717835450029,2,0.0,-0.02153506350082826
meralion-2-3b,17,reverb_decay,0.5,0.3127035830618892,0.19712865819988956,2,-0.026058631921824116,-0.041413583655438985
meralion-2-3b,17,reverb_decay,0.8,0.30618892508143325,0.19050248481501933,2,-0.03257328990228009,-0.04803975704030922
meralion-2-3b,17,clipping_ratio,0.98,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,17,clipping_ratio,0.9,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,17,clipping_ratio,0.8,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,23,none,0.0,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,23,noise_snr_db,30.0,0.43322475570032576,0.3003865267807841,2,0.09446254071661242,0.061844284925455545
meralion-2-3b,23,noise_snr_db,20.0,0.4527687296416938,0.2959690778575373,2,0.11400651465798045,0.05742683600220874
meralion-2-3b,23,noise_snr_db,10.0,0.5798045602605864,0.38100496963003866,2,0.24104234527687302,0.1424627277747101
meralion-2-3b,23,speed,0.9,0.43973941368078173,0.319712865819989,2,0.1009771986970684,0.08117062396466043
meralion-2-3b,23,speed,0.8,0.3778501628664495,0.2578685808945334,2,0.039087947882736174,0.01932633903920486
meralion-2-3b,23,speed,1.1,0.38762214983713356,0.23136388735505245,2,0.04885993485342022,-0.007178354500276096
meralion-2-3b,23,pitch_semitones,-2.0,0.36156351791530944,0.2390944229707344,2,0.0228013029315961,0.0005521811154058642
meralion-2-3b,23,pitch_semitones,2.0,0.36156351791530944,0.23467697404748758,2,0.0228013029315961,-0.0038652678078409664
meralion-2-3b,23,pitch_semitones,4.0,0.3811074918566775,0.27167310877967976,2,0.04234527687296419,0.033130866924351215
meralion-2-3b,23,reverb_decay,0.2,0.33876221498371334,0.21700717835450029,2,0.0,-0.02153506350082826
meralion-2-3b,23,reverb_decay,0.5,0.3127035830618892,0.19712865819988956,2,-0.026058631921824116,-0.041413583655438985
meralion-2-3b,23,reverb_decay,0.8,0.30618892508143325,0.19050248481501933,2,-0.03257328990228009,-0.04803975704030922
meralion-2-3b,23,clipping_ratio,0.98,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,23,clipping_ratio,0.9,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,23,clipping_ratio,0.8,0.33876221498371334,0.23854224185532855,2,0.0,0.0
whisper-small,13,none,0.0,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,13,noise_snr_db,30.0,0.5895765472312704,0.5135284373274434,2,0.0032573289902280145,-0.009387078961899498
whisper-small,13,noise_snr_db,20.0,0.6416938110749185,0.5389287686361126,2,0.055374592833876135,0.016013252346769757
whisper-small,13,noise_snr_db,10.0,0.6677524429967426,0.5648812810601878,2,0.08143322475570025,0.041965764770844904
whisper-small,13,speed,0.9,0.5342019543973942,0.4500276090557703,2,-0.05211726384364823,-0.07288790723357258
whisper-small,13,speed,0.8,0.5863192182410424,0.46438431805632246,2,0.0,-0.05853119823302039
whisper-small,13,speed,1.1,0.5211726384364821,0.44781888459414687,2,-0.06514657980456029,-0.07509663169519598
whisper-small,13,pitch_semitones,-2.0,0.6091205211726385,0.526228602981778,2,0.0228013029315961,0.00331308669243513
whisper-small,13,pitch_semitones,2.0,0.6254071661237784,0.5466593042517945,2,0.03908794788273606,0.02374378796245169
whisper-small,13,pitch_semitones,4.0,0.6384364820846905,0.5472114853672004,2,0.05211726384364812,0.024295969077857582
whisper-small,13,reverb_decay,0.2,0.6058631921824105,0.5162893429044727,2,0.019543973941368087,-0.006626173384870149
whisper-small,13,reverb_decay,0.5,0.7003257328990228,0.5692987299834346,2,0.1140065146579804,0.04638321369409171
whisper-small,13,reverb_decay,0.8,0.8306188925081434,0.6361126449475428,2,0.24429967426710097,0.11319712865819997
whisper-small,13,clipping_ratio,0.98,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,13,clipping_ratio,0.9,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,13,clipping_ratio,0.8,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,17,none,0.0,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,17,noise_snr_db,30.0,0.5993485342019544,0.5339591385974599,2,0.013029315960912058,0.011043622308117063
whisper-small,17,noise_snr_db,20.0,0.6351791530944625,0.5389287686361126,2,0.048859934853420106,0.016013252346769757
whisper-small,17,noise_snr_db,10.0,0.6579804560260586,0.5709552733296521,2,0.07166123778501621,0.04803975704030927
whisper-small,17,speed,0.9,0.5342019543973942,0.4500276090557703,2,-0.05211726384364823,-0.07288790723357258
whisper-small,17,speed,0.8,0.5863192182410424,0.46438431805632246,2,0.0,-0.05853119823302039
whisper-small,17,speed,1.1,0.5211726384364821,0.44781888459414687,2,-0.06514657980456029,-0.07509663169519598
whisper-small,17,pitch_semitones,-2.0,0.6091205211726385,0.526228602981778,2,0.0228013029315961,0.00331308669243513
whisper-small,17,pitch_semitones,2.0,0.6254071661237784,0.5466593042517945,2,0.03908794788273606,0.02374378796245169
whisper-small,17,pitch_semitones,4.0,0.6384364820846905,0.5472114853672004,2,0.05211726384364812,0.024295969077857582
whisper-small,17,reverb_decay,0.2,0.6058631921824105,0.5162893429044727,2,0.019543973941368087,-0.006626173384870149
whisper-small,17,reverb_decay,0.5,0.7003257328990228,0.5692987299834346,2,0.1140065146579804,0.04638321369409171
whisper-small,17,reverb_decay,0.8,0.8306188925081434,0.6361126449475428,2,0.24429967426710097,0.11319712865819997
whisper-small,17,clipping_ratio,0.98,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,17,clipping_ratio,0.9,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,17,clipping_ratio,0.8,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,23,none,0.0,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,23,noise_snr_db,30.0,0.6091205211726385,0.5383765875207068,2,0.0228013029315961,0.015461071231363976
whisper-small,23,noise_snr_db,20.0,0.6547231270358306,0.5538376587520707,2,0.06840390879478819,0.030922142462727842
whisper-small,23,noise_snr_db,10.0,0.6872964169381107,0.5599116510215351,2,0.10097719869706834,0.03699613473219221
whisper-small,23,speed,0.9,0.5342019543973942,0.4500276090557703,2,-0.05211726384364823,-0.07288790723357258
whisper-small,23,speed,0.8,0.5863192182410424,0.46438431805632246,2,0.0,-0.05853119823302039
whisper-small,23,speed,1.1,0.5211726384364821,0.44781888459414687,2,-0.06514657980456029,-0.07509663169519598
whisper-small,23,pitch_semitones,-2.0,0.6091205211726385,0.526228602981778,2,0.0228013029315961,0.00331308669243513
whisper-small,23,pitch_semitones,2.0,0.6254071661237784,0.5466593042517945,2,0.03908794788273606,0.02374378796245169
whisper-small,23,pitch_semitones,4.0,0.6384364820846905,0.5472114853672004,2,0.05211726384364812,0.024295969077857582
whisper-small,23,reverb_decay,0.2,0.6058631921824105,0.5162893429044727,2,0.019543973941368087,-0.006626173384870149
whisper-small,23,reverb_decay,0.5,0.7003257328990228,0.5692987299834346,2,0.1140065146579804,0.04638321369409171
whisper-small,23,reverb_decay,0.8,0.8306188925081434,0.6361126449475428,2,0.24429967426710097,0.11319712865819997
whisper-small,23,clipping_ratio,0.98,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,23,clipping_ratio,0.9,0.5863192182410424,0.5229155162893429,2,0.0,0.0
whisper-small,23,clipping_ratio,0.8,0.5863192182410424,0.5229155162893429,2,0.0,0.0
