model,corruption,severity,wer_mean,wer_lo,wer_hi,cer_mean,cer_lo,cer_hi,dWER_mean,dWER_lo,dWER_hi,dCER_mean,dCER_lo,dCER_hi,n_seed,n_utts
meralion-2-10b,clipping_ratio,0.8,0.3961835529304862,0.3961835529304862,0.3961835529304862,0.21281267152826785,0.21281267152826785,0.21281267152826785,-0.0013630168105406848,-0.0013630168105406848,-0.0013630168105406848,0.0010977809142946604,0.0010977809142946604,0.0010977809142946604,3,20
meralion-2-10b,clipping_ratio,0.9,0.396637891867333,0.396637891867333,0.396637891867333,0.21312632321806635,0.21312632321806635,0.21312632321806635,-0.0009086778736938084,-0.0009086778736938084,-0.0009086778736938084,0.0014114326040931546,0.0014114326040931546,0.0014114326040931546,3,20
meralion-2-10b,clipping_ratio,0.98,0.3975465697410268,0.3975465697410268,0.3975465697410268,0.2117148906139732,0.2117148906139732,0.2117148906139732,0.0,0.0,0.0,0.0,0.0,0.0,3,20
meralion-2-10b,noise_snr_db,10.0,0.44570649704679693,0.4325306678782372,0.46388005452067244,0.2618207480592802,0.25601819179800833,0.2695052144593429,0.0481599273057701,0.03498409813721037,0.06633348477964562,0.05010585744530697,0.04430330118403514,0.057790323845369695,3,20
meralion-2-10b,noise_snr_db,20.0,0.398152354990156,0.3902771467514767,0.4020899591094957,0.222405185707938,0.21830157609974124,0.22551556496510625,0.0006057852491291871,-0.007269422989550189,0.004543389368468875,0.010690295093964805,0.006586685485768046,0.013800674351133052,3,20
meralion-2-10b,noise_snr_db,30.0,0.3860366500075723,0.3830077237619263,0.39164016356201725,0.21022504508743042,0.20606916019760058,0.21555712381400452,-0.011509919733454499,-0.014538845979100434,-0.00590640617900956,-0.0014898455265427806,-0.0056457304163726185,0.003842233200031353,3,20
meralion-2-10b,none,0.0,0.3975465697410268,0.3975465697410268,0.3975465697410268,0.2117148906139732,0.2117148906139732,0.2117148906139732,0.0,0.0,0.0,0.0,0.0,0.0,3,20
meralion-2-10b,pitch_semitones,-2.0,0.39164016356201725,0.39164016356201725,0.39164016356201725,0.2124990198384694,0.2124990198384694,0.2124990198384694,-0.00590640617900956,-0.00590640617900956,-0.00590640617900956,0.0007841292244961939,0.0007841292244961939,0.0007841292244961939,3,20
meralion-2-10b,pitch_semitones,2.0,0.39254884143571106,0.39254884143571106,0.39254884143571106,0.21963459578138478,0.21963459578138478,0.21963459578138478,-0.004997728305315752,-0.004997728305315752,-0.004997728305315752,0.007919705167411584,0.007919705167411584,0.007919705167411584,3,20
meralion-2-10b,pitch_semitones,4.0,0.3961835529304862,0.3961835529304862,0.3961835529304862,0.2233200031365169,0.2233200031365169,0.2233200031365169,-0.0013630168105406848,-0.0013630168105406848,-0.0013630168105406848,0.011605112522543704,0.011605112522543704,0.011605112522543704,3,20
